,model_name,variance_k,normality_k,boruta_flag,vif_k,score,chosen_columns
164,model3_rf,5.0,15.0,1.0,5.0,0.6582898434363709, 10  64 204 338 453
165,model1_xg,5.0,15.0,1.0,5.0,0.6516659975913288, 10  64 204 338 453
166,model2_xg,5.0,15.0,1.0,5.0,0.6599759132878362, 10  64 204 338 453
167,model3_xg,5.0,15.0,1.0,5.0,0.6410678442392613, 10  64 204 338 453
168,model4_xg,5.0,15.0,1.0,5.0,0.6264552388598956, 10  64 204 338 453
169,model5_xg,5.0,15.0,1.0,5.0,0.6377759935768768, 10  64 204 338 453
170,model1_lr,5.0,15.0,1.0,5.0,0.5761942994781213, 10  64 204 338 453
171,model2_lr,5.0,15.0,1.0,5.0,0.5761942994781213, 10  64 204 338 453
172,model3_lr,5.0,15.0,1.0,5.0,0.5761942994781213, 10  64 204 338 453
173,model1_svc,5.0,15.0,1.0,5.0,0.5783219590525893, 10  64 204 338 453
174,model2_svc,5.0,15.0,1.0,5.0,0.5783219590525893, 10  64 204 338 453
175,model3_svc,5.0,15.0,1.0,5.0,0.5783219590525893, 10  64 204 338 453
176,model1_ensemble_rfxglr,5.0,15.0,1.0,5.0,0.6366118024889602, 10  64 204 338 453
177,model2_ensemble_rflrsvc,5.0,15.0,1.0,5.0,0.595303091128061, 10  64 204 338 453
178,model3_ensemble_xglrsvc,5.0,15.0,1.0,5.0,0.6356884785226816, 10  64 204 338 453
179,model4_ensemble_rfxgsvc,5.0,15.0,1.0,5.0,0.6562023283821758, 10  64 204 338 453
180,model1_rf,5.0,25.0,1.0,5.0,0.6341629867523083, 10  64 128 204 472
181,model2_rf,5.0,25.0,1.0,5.0,0.6460056202328381, 10  64 128 204 472
182,model3_rf,5.0,25.0,1.0,5.0,0.6476515455640305, 10  64 128 204 472
183,model1_xg,5.0,25.0,1.0,5.0,0.6642312324367723, 10  64 128 204 472
184,model2_xg,5.0,25.0,1.0,5.0,0.7030108390204737, 10  64 128 204 472
185,model3_xg,5.0,25.0,1.0,5.0,0.7098354074668807, 10  64 128 204 472
186,model4_xg,5.0,25.0,1.0,5.0,0.6655961461260538, 10  64 128 204 472
187,model5_xg,5.0,25.0,1.0,5.0,0.6810116419108792, 10  64 128 204 472
188,model1_lr,5.0,25.0,1.0,5.0,0.5639100762745886, 10  64 128 204 472
189,model2_lr,5.0,25.0,1.0,5.0,0.5639100762745886, 10  64 128 204 472
190,model3_lr,5.0,25.0,1.0,5.0,0.5639100762745886, 10  64 128 204 472
191,model1_svc,5.0,25.0,1.0,5.0,0.567442794058611, 10  64 128 204 472
192,model2_svc,5.0,25.0,1.0,5.0,0.567442794058611, 10  64 128 204 472
193,model3_svc,5.0,25.0,1.0,5.0,0.567442794058611, 10  64 128 204 472
194,model1_ensemble_rfxglr,5.0,25.0,1.0,5.0,0.6772380570052188, 10  64 128 204 472
195,model2_ensemble_rflrsvc,5.0,25.0,1.0,5.0,0.59313528703332, 10  64 128 204 472
196,model3_ensemble_xglrsvc,5.0,25.0,1.0,5.0,0.6810116419108792, 10  64 128 204 472
197,model4_ensemble_rfxgsvc,5.0,25.0,1.0,5.0,0.6774789241268566, 10  64 128 204 472
198,model1_rf,5.0,35.0,1.0,5.0,0.5900441589723002, 10  64 204 410 472
199,model2_rf,5.0,35.0,1.0,5.0,0.6053793657165797, 10  64 204 410 472
200,model3_rf,5.0,35.0,1.0,5.0,0.6160176635889201, 10  64 204 410 472
201,model1_xg,5.0,35.0,1.0,5.0,0.6308711360899237, 10  64 204 410 472
202,model2_xg,5.0,35.0,1.0,5.0,0.6285427539140906, 10  64 204 410 472
203,model3_xg,5.0,35.0,1.0,5.0,0.6316338819751104, 10  64 204 410 472
204,model4_xg,5.0,35.0,1.0,5.0,0.6164592533119229, 10  64 204 410 472
205,model5_xg,5.0,35.0,1.0,5.0,0.6091930951425131, 10  64 204 410 472
206,model1_lr,5.0,35.0,1.0,5.0,0.5577679646728222, 10  64 204 410 472
207,model2_lr,5.0,35.0,1.0,5.0,0.5596547571256523, 10  64 204 410 472
208,model3_lr,5.0,35.0,1.0,5.0,0.5596547571256523, 10  64 204 410 472
209,model1_svc,5.0,35.0,1.0,5.0,0.5553994379767162, 10  64 204 410 472
210,model2_svc,5.0,35.0,1.0,5.0,0.5553994379767162, 10  64 204 410 472
211,model3_svc,5.0,35.0,1.0,5.0,0.5553994379767162, 10  64 204 410 472
212,model1_ensemble_rfxglr,5.0,35.0,1.0,5.0,0.6245283018867924, 10  64 204 410 472
213,model2_ensemble_rflrsvc,5.0,35.0,1.0,5.0,0.5664391810517864, 10  64 204 410 472
214,model3_ensemble_xglrsvc,5.0,35.0,1.0,5.0,0.6089522280208751, 10  64 204 410 472
215,model4_ensemble_rfxgsvc,5.0,35.0,1.0,5.0,0.6221597751906864, 10  64 204 410 472
216,model1_rf,5.0,50.0,1.0,5.0,0.6381774387796066, 10  64 128 204 338
217,model2_rf,5.0,50.0,1.0,5.0,0.6388598956242473, 10  64 128 204 338
218,model3_rf,5.0,50.0,1.0,5.0,0.6452428743476515, 10  64 128 204 338
219,model1_xg,5.0,50.0,1.0,5.0,0.6533520674427941, 10  64 128 204 338
220,model2_xg,5.0,50.0,1.0,5.0,0.676756322761943, 10  64 128 204 338
221,model3_xg,5.0,50.0,1.0,5.0,0.6422721798474509, 10  64 128 204 338
222,model4_xg,5.0,50.0,1.0,5.0,0.6332798073063026, 10  64 128 204 338
223,model5_xg,5.0,50.0,1.0,5.0,0.6482135688478523, 10  64 128 204 338
224,model1_lr,5.0,50.0,1.0,5.0,0.5518667201926937, 10  64 128 204 338
225,model2_lr,5.0,50.0,1.0,5.0,0.5518667201926937, 10  64 128 204 338
226,model3_lr,5.0,50.0,1.0,5.0,0.5518667201926937, 10  64 128 204 338
227,model1_svc,5.0,50.0,1.0,5.0,0.5539943797671618, 10  64 128 204 338
228,model2_svc,5.0,50.0,1.0,5.0,0.5539943797671618, 10  64 128 204 338
229,model3_svc,5.0,50.0,1.0,5.0,0.5539943797671618, 10  64 128 204 338
230,model1_ensemble_rfxglr,5.0,50.0,1.0,5.0,0.6481734243275793, 10  64 128 204 338
231,model2_ensemble_rflrsvc,5.0,50.0,1.0,5.0,0.5851465274989964, 10  64 128 204 338
232,model3_ensemble_xglrsvc,5.0,50.0,1.0,5.0,0.6338016860698514, 10  64 128 204 338
233,model4_ensemble_rfxgsvc,5.0,50.0,1.0,5.0,0.6585708550782818, 10  64 128 204 338
234,model1_rf,5.0,100.0,1.0,5.0,0.5508229626655962, 10 105 204 298 481
235,model2_rf,5.0,100.0,1.0,5.0,0.5607386591730228, 10 105 204 298 481
236,model3_rf,5.0,100.0,1.0,5.0,0.5560417503010839, 10 105 204 298 481
237,model1_xg,5.0,100.0,1.0,5.0,0.5586912886391008, 10 105 204 298 481
238,model2_xg,5.0,100.0,1.0,5.0,0.5752308309915697, 10 105 204 298 481
239,model3_xg,5.0,100.0,1.0,5.0,0.562946607788037, 10 105 204 298 481
240,model4_xg,5.0,100.0,1.0,5.0,0.5652749899638699, 10 105 204 298 481
241,model5_xg,5.0,100.0,1.0,5.0,0.5565636290646327, 10 105 204 298 481
242,model1_lr,5.0,100.0,1.0,5.0,0.49329586511441187, 10 105 204 298 481
243,model2_lr,5.0,100.0,1.0,5.0,0.49329586511441187, 10 105 204 298 481
244,model3_lr,5.0,100.0,1.0,5.0,0.49329586511441187, 10 105 204 298 481
245,model1_svc,5.0,100.0,1.0,5.0,0.4914090726615817, 10 105 204 298 481
246,model2_svc,5.0,100.0,1.0,5.0,0.4914090726615817, 10 105 204 298 481
247,model3_svc,5.0,100.0,1.0,5.0,0.49353673223604977, 10 105 204 298 481
