,lr,n_est,max_depth,m,score,case,standardize
219,0.1,70.0,6.0,70.0,0.9459452136323169,case3,1.0
220,0.3,30.0,6.0,70.0,0.9466861614766089,case3,0.0
221,0.3,30.0,6.0,70.0,0.9480514042675162,case3,1.0
222,0.3,40.0,6.0,70.0,0.9493890672534727,case3,0.0
223,0.3,40.0,6.0,70.0,0.9489108738173195,case3,1.0
224,0.3,50.0,6.0,70.0,0.9510697302274368,case3,0.0
225,0.3,50.0,6.0,70.0,0.950952771435621,case3,1.0
226,0.3,60.0,6.0,70.0,0.9520128059311899,case3,0.0
227,0.3,60.0,6.0,70.0,0.9511800429884756,case3,1.0
228,0.3,70.0,6.0,70.0,0.9522952021844953,case3,0.0
229,0.3,70.0,6.0,70.0,0.9523812979121222,case3,1.0
230,0.5,30.0,6.0,70.0,0.9476706554224498,case3,0.0
231,0.5,30.0,6.0,70.0,0.9496219222699935,case3,1.0
232,0.5,40.0,6.0,70.0,0.9505459366111044,case3,0.0
233,0.5,40.0,6.0,70.0,0.9474789858800892,case3,1.0
234,0.5,50.0,6.0,70.0,0.9501979157868543,case3,0.0
235,0.5,50.0,6.0,70.0,0.9504315730711521,case3,1.0
236,0.5,60.0,6.0,70.0,0.9501467421083498,case3,0.0
237,0.5,60.0,6.0,70.0,0.9521579604038491,case3,1.0
238,0.5,70.0,6.0,70.0,0.9526182587780923,case3,0.0
239,0.5,70.0,6.0,70.0,0.9536893681645721,case3,1.0
240,0.1,30.0,7.0,70.0,0.934967186095111,case3,0.0
241,0.1,30.0,7.0,70.0,0.9332220879106385,case3,1.0
242,0.1,40.0,7.0,70.0,0.940597912687579,case3,0.0
243,0.1,40.0,7.0,70.0,0.9410725175516154,case3,1.0
244,0.1,50.0,7.0,70.0,0.9401696432505519,case3,0.0
245,0.1,50.0,7.0,70.0,0.9416843235021354,case3,1.0
246,0.1,60.0,7.0,70.0,0.9438319909931474,case3,0.0
247,0.1,60.0,7.0,70.0,0.9428983604328552,case3,1.0
248,0.1,70.0,7.0,70.0,0.9456143618376659,case3,0.0
249,0.1,70.0,7.0,70.0,0.9458899054599692,case3,1.0
250,0.3,30.0,7.0,70.0,0.9497860690851869,case3,0.0
251,0.3,30.0,7.0,70.0,0.9512854491371998,case3,1.0
252,0.3,40.0,7.0,70.0,0.946751300560296,case3,0.0
253,0.3,40.0,7.0,70.0,0.9448313879052673,case3,1.0
254,0.3,50.0,7.0,70.0,0.9502227991442312,case3,0.0
255,0.3,50.0,7.0,70.0,0.9496126005366904,case3,1.0
256,0.3,60.0,7.0,70.0,0.9553011505006996,case3,0.0
257,0.3,60.0,7.0,70.0,0.9524731201992541,case3,1.0
258,0.3,70.0,7.0,70.0,0.9526512194777572,case3,0.0
259,0.3,70.0,7.0,70.0,0.9519943856077054,case3,1.0
260,0.5,30.0,7.0,70.0,0.9446849283473803,case3,0.0
261,0.5,30.0,7.0,70.0,0.946796058785673,case3,1.0
